Study,DOI,Citation,Species,BioProject,GEO_series,GEO_sample,SRA_experiment,SRA_runs,Download_URL,Original_sample_id,Undergone_treatment.Contains_transgene.Mutant_phenotype,Cultivar,Growth_medium,Plant_stage,Tissue,Tissue_size,Protoplasting_time,Number_of_cells.loaded,Library_protocol,Spike.in
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626004,SRX8574739,"SRR12046091, SRR12046092, SRR12046093, SRR12046094, SRR12046095, SRR12046096, SRR12046097, SRR12046098",,sc_37,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,6 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626005,SRX8574740,"SRR12046099, SRR12046100, SRR12046101, SRR12046102, SRR12046103, SRR12046104, SRR12046105, SRR12046106",,sc_40,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,6 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626006,SRX8574741,"SRR12046107, SRR12046108, SRR12046109, SRR12046110",,sc_51,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626007,SRX8574742,"SRR12046111, SRR12046112, SRR12046113, SRR12046114",,sc_52,Yes,shortroot-2,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626008,SRX8574743,"SRR12046115, SRR12046116, SRR12046117, SRR12046118",,sc_53,Yes,shortroot-2,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626009,SRX8574744,"SRR12046119, SRR12046120",,col0,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626010,SRX8574745,"SRR12046121, SRR12046122",,tnw1,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Shahan_et_al_2022,10.1016/j.devcel.2022.01.008,"Shahan, R., Hsu, C.-W., Nolan, T. M., Cole, B. J., Taylor, I. W., Greenstreet, L., Zhang, S., Afanassiev, A., Vlot, A. H. C., Schiebinger, G., Benfey, P. N., & Ohler, U. (2022). A single-cell Arabidopsis root atlas reveals developmental trajectories in wild-type and cell identity mutants. Developmental Cell, 57(4), 543-560.e9. https://doi.org/10.1016/j.devcel.2022.01.008",Arabidopsis thaliana,PRJNA640389,GSE152766,GSM4626011,SRX8574746,"SRR12046123, SRR12046124",,tnw2,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,5 day,root tip,0.5 cm,1 h,N.A,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514329,SRX17302363,"SRR21293230, SRR21293231",,sc_2,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514330,SRX17302364,"SRR21293226, SRR21293227",,sc_5,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514331,SRX17302365,"SRR21293222, SRR21293223, SRR21293224, SRR21293225, SRR21293228, SRR21293229, SRR21293232, SRR21293233",,sc_43,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514332,SRX17302366,"SRR21293213, SRR21293214, SRR21293215, SRR21293216, SRR21293217, SRR21293218, SRR21293219, SRR21293220",,sc_44,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514333,SRX17302367,"SRR21293203, SRR21293204, SRR21293205, SRR21293206, SRR21293207, SRR21293208, SRR21293209, SRR21293221",,sc_45,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514334,SRX17302368,"SRR21293198, SRR21293199, SRR21293200, SRR21293201, SRR21293202, SRR21293210, SRR21293211, SRR21293212",,sc_46,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514335,SRX17302370,"SRR21293195, SRR21293234, SRR21293235, SRR21293236, SRR21293237, SRR21293238, SRR21293239, SRR21293240",,sc_47,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514336,SRX17302360,"SRR21293257, SRR21293258, SRR21293259, SRR21293260, SRR21293261, SRR21293262, SRR21293263, SRR21293264",,sc_48,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514337,SRX17302361,"SRR21293249, SRR21293250, SRR21293251, SRR21293252, SRR21293253, SRR21293254, SRR21293255, SRR21293256",,sc_49,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514338,SRX17302362,"SRR21293241, SRR21293242, SRR21293243, SRR21293244, SRR21293245, SRR21293246, SRR21293247, SRR21293248",,sc_50,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514339,SRX17302369,"SRR21293196, SRR21293197",,sc_122,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514340,SRX17302371,"SRR21293193, SRR21293194",,sc_123,Yes,gtl1,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514341,SRX17302372,"SRR21293191, SRR21293192",,sc_124,Yes,df1,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514342,SRX17302373,"SRR21293189, SRR21293190",,sc_125,Yes,gtl1_df1,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514343,SRX17302374,"SRR21293187, SRR21293188",,sc_126,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514344,SRX17302375,"SRR21293185, SRR21293186",,sc_127,Yes,gtl1,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514345,SRX17302376,"SRR21293183, SRR21293184",,sc_128,Yes,df1,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514346,SRX17302377,"SRR21293181, SRR21293182",,sc_129,Yes,gtl1_df1,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514347,SRX17302378,"SRR21293179, SRR21293180",,sc_130,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514348,SRX17302379,"SRR21293177, SRR21293178",,sc_131,Yes,bri1_T,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514349,SRX17302380,"SRR21293175, SRR21293176",,sc_133,Yes,pGL2_BRI1_GFP_bri1_T,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514350,SRX17302381,"SRR21293173, SRR21293174",,sc_134,No,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514351,SRX17302382,"SRR21293171, SRR21293172",,sc_135,Yes,bri1_T,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6514352,SRX17302383,"SRR21293169, SRR21293170",,sc_137,Yes,pGL2_BRI1_GFP_bri1_T,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6857956,SRX18769967,"SRR22810259, SRR22810260",,sc_111,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
Nolan_et_al_2023,10.1126/science.adf4721,"Nolan, T. M., Vukašinovi?, N., Hsu, C.-W., Zhang, J., Vanhoutte, I., Shahan, R., Taylor, I. W., Greenstreet, L., Heitz, M., Afanassiev, A., Wang, P., Szekely, P., Brosnan, A., Yin, Y., Schiebinger, G., Ohler, U., Russinova, E., & Benfey, P. N. (2023). Brassinosteroid gene regulatory networks at cellular resolution in the Arabidopsis root. Science, 379(6639), eadf4721. https://doi.org/10.1126/science.adf4721",Arabidopsis thaliana,PRJNA874688,GSE212230,GSM6857957,SRX18769968,"SRR22810257, SRR22810258",,sc_112,Yes,Col-0,1X Linsmaier and Skoog + 1% Sucrose,7 day,root tip,0.5 cm,1 h,16000,10x Genomics Single Cell 3â€™ Reagent Kit v3.1,N.A
