Study,DOI,Citation,Species,BioProject,GEO_series,GEO_sample,SRA_experiment,SRA_runs,Download_URL,Original_sample_id,Undergone_treatment.Contains_transgene.Mutant_phenotype,Cultivar,Growth_medium,Plant_stage,Tissue,Tissue_size,Protoplasting_time,Number_of_cells.loaded,Library_protocol,Spike.in
Jean-baptiste_et_al_2019,10.1105/tpc.18.00785,"Jean-Baptiste, K., McFaline-Figueroa, J. L., Alexandre, C. M., Dorrity, M. W., Saunders, L., Bubb, K. L., Trapnell, C., Fields, S., Queitsch, C., & Cuperus, J. T. (2019). Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana. The Plant Cell, 31(5), 993–1011. https://doi.org/10.1105/tpc.18.00785",Arabidopsis thaliana,PRJNA497883,GSE121619,GSM4466789,SRX8089021,"SRR11517428, SRR11517429, SRR11517430, SRR11517431",,whole_root_Heatshock,Yes,Col-0,1x Murashige and Skoog (MS) medium + 1% sucrose,8 day,whole root,whole root,1.5 h ,N.A.,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Zhang_et_al_2019,10.1016/j.molp.2019.04.004,"Zhang, T.-Q., Xu, Z.-G., Shang, G.-D., & Wang, J.-W. (2019). A Single-Cell RNA Sequencing Profiles the Developmental Landscape of Arabidopsis Root. Molecular Plant, 12(5), 648–660. https://doi.org/10.1016/j.molp.2019.04.004",Arabidopsis thaliana,PRJNA517021,N.A.,N.A.,SRX5290443,SRR8485805,,Root_01,No,Col-0,0.5x Murashige and Skoog (MS) medium with vitamin,10 day,root tip,0.5 cm,2 h,15000,10x Genomics Single Cell 3â€™ Reagent Kit v2 ,N.A.
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478124,SRX5025979,SRR8206654,,A,No,Col-0,1x Murashige and Skoog (MS) medium + 1% sucrose,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,HEK293T/17
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478125,SRX5025980,SRR8206655,,B,No,Col-0,1x Murashige and Skoog (MS) medium + 1% sucrose,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,HEK293T/17
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478126,SRX5025981,SRR8206656,,C,No,Col-0,1x Murashige and Skoog (MS) medium + 1% sucrose,7 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,HEK293T/17
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478127,SRX5025982,SRR8206657,,D,No,Col-0,1x Murashige and Skoog (MS) medium ,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,E14Tg2a.4
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478128,SRX5025983,SRR8206658,,E,No,Col-0,1x Murashige and Skoog (MS) medium ,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,E14Tg2a.4
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478129,SRX5025984,SRR8206659,,F,No,Col-0,1x Murashige and Skoog (MS) medium ,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,E14Tg2a.4
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478130,SRX5025985,SRR8206660,,G,No,Col-0,1x Murashige and Skoog (MS) medium ,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,E14Tg2a.4
Shulse_et_al_2019,10.1016/j.celrep.2019.04.054,"Shulse, C. N., Cole, B. J., Ciobanu, D., Lin, J., Yoshinaga, Y., Gouran, M., Turco, G. M., Zhu, Y., O’Malley, R. C., Brady, S. M., & Dickel, D. E. (2019). High-Throughput Single-Cell Transcriptome Profiling of Plant Cell Types. Cell Reports, 27(7), 2241-2247.e4. https://doi.org/10.1016/j.celrep.2019.04.054",Arabidopsis thaliana,PRJNA506007,GSE122687,GSM3478131,SRX5025986,SRR8206661,,H,No,Col-0,1x Murashige and Skoog (MS) medium ,5 day,whole root,whole root,1 h,N.A.,Drop-seq Laboratory Protocol version 3.1,E14Tg2a.4
